"asset_id","family","platform","placement","width","height","composition","copy_mode","theme","approval_state","sensitive","export_filename"
"alfred-flagship-launch__category-definition__linkedin__portrait__illustration-led__short__dark","category-definition","linkedin","portrait","1200","1350","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__illustration-led__short__light","category-definition","linkedin","portrait","1200","1350","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__illustration-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__illustration-led__medium__dark","category-definition","linkedin","portrait","1200","1350","illustration-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__illustration-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__illustration-led__medium__light","category-definition","linkedin","portrait","1200","1350","illustration-led","medium","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__illustration-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__illustration-led__long__dark","category-definition","linkedin","portrait","1200","1350","illustration-led","long","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__illustration-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__illustration-led__long__light","category-definition","linkedin","portrait","1200","1350","illustration-led","long","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__illustration-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__editorial-led__short__dark","category-definition","linkedin","square","1200","1200","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__editorial-led__short__light","category-definition","linkedin","square","1200","1200","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__editorial-led__medium__dark","category-definition","linkedin","square","1200","1200","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__editorial-led__medium__light","category-definition","linkedin","square","1200","1200","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__editorial-led__long__dark","category-definition","linkedin","square","1200","1200","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__editorial-led__long__light","category-definition","linkedin","square","1200","1200","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__product-led__short__dark","category-definition","linkedin","square","1200","1200","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__product-led__short__light","category-definition","linkedin","square","1200","1200","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__product-led__medium__dark","category-definition","linkedin","square","1200","1200","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__product-led__medium__light","category-definition","linkedin","square","1200","1200","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__product-led__long__dark","category-definition","linkedin","square","1200","1200","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__product-led__long__light","category-definition","linkedin","square","1200","1200","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__product-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__illustration-led__short__dark","category-definition","linkedin","square","1200","1200","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__illustration-led__short__light","category-definition","linkedin","square","1200","1200","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__illustration-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__illustration-led__medium__dark","category-definition","linkedin","square","1200","1200","illustration-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__illustration-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__illustration-led__medium__light","category-definition","linkedin","square","1200","1200","illustration-led","medium","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__illustration-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__illustration-led__long__dark","category-definition","linkedin","square","1200","1200","illustration-led","long","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-square__illustration-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__square__illustration-led__long__light","category-definition","linkedin","square","1200","1200","illustration-led","long","light","draft","false","alfred-flagship-launch__category-definition__linkedin-square__illustration-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__editorial-led__short__dark","category-definition","meta","landscape","1200","628","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__editorial-led__short__light","category-definition","meta","landscape","1200","628","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__editorial-led__medium__dark","category-definition","meta","landscape","1200","628","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__editorial-led__medium__light","category-definition","meta","landscape","1200","628","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__editorial-led__long__dark","category-definition","meta","landscape","1200","628","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__editorial-led__long__light","category-definition","meta","landscape","1200","628","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__product-led__short__dark","category-definition","meta","landscape","1200","628","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__product-led__short__light","category-definition","meta","landscape","1200","628","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__product-led__medium__dark","category-definition","meta","landscape","1200","628","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__product-led__medium__light","category-definition","meta","landscape","1200","628","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__product-led__long__dark","category-definition","meta","landscape","1200","628","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__product-led__long__light","category-definition","meta","landscape","1200","628","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__product-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__illustration-led__short__dark","category-definition","meta","landscape","1200","628","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__illustration-led__short__light","category-definition","meta","landscape","1200","628","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__illustration-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__illustration-led__medium__dark","category-definition","meta","landscape","1200","628","illustration-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__illustration-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__illustration-led__medium__light","category-definition","meta","landscape","1200","628","illustration-led","medium","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__illustration-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__illustration-led__long__dark","category-definition","meta","landscape","1200","628","illustration-led","long","dark","draft","false","alfred-flagship-launch__category-definition__meta-landscape__illustration-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__meta__landscape__illustration-led__long__light","category-definition","meta","landscape","1200","628","illustration-led","long","light","draft","false","alfred-flagship-launch__category-definition__meta-landscape__illustration-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__editorial-led__short__dark","category-definition","facebook","square","1080","1080","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__editorial-led__short__light","category-definition","facebook","square","1080","1080","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__editorial-led__medium__dark","category-definition","facebook","square","1080","1080","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__editorial-led__medium__light","category-definition","facebook","square","1080","1080","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__editorial-led__long__dark","category-definition","facebook","square","1080","1080","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__editorial-led__long__light","category-definition","facebook","square","1080","1080","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__product-led__short__dark","category-definition","facebook","square","1080","1080","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__product-led__short__light","category-definition","facebook","square","1080","1080","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__product-led__medium__dark","category-definition","facebook","square","1080","1080","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__product-led__medium__light","category-definition","facebook","square","1080","1080","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__product-led__long__dark","category-definition","facebook","square","1080","1080","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__product-led__long__light","category-definition","facebook","square","1080","1080","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__product-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__illustration-led__short__dark","category-definition","facebook","square","1080","1080","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__illustration-led__short__light","category-definition","facebook","square","1080","1080","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__illustration-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__illustration-led__medium__dark","category-definition","facebook","square","1080","1080","illustration-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__illustration-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__illustration-led__medium__light","category-definition","facebook","square","1080","1080","illustration-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__illustration-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__illustration-led__long__dark","category-definition","facebook","square","1080","1080","illustration-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-square__illustration-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__square__illustration-led__long__light","category-definition","facebook","square","1080","1080","illustration-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-square__illustration-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__editorial-led__short__dark","category-definition","facebook","portrait","1080","1350","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__editorial-led__short__light","category-definition","facebook","portrait","1080","1350","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__editorial-led__medium__dark","category-definition","facebook","portrait","1080","1350","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__editorial-led__medium__light","category-definition","facebook","portrait","1080","1350","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__editorial-led__long__dark","category-definition","facebook","portrait","1080","1350","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__editorial-led__long__light","category-definition","facebook","portrait","1080","1350","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__product-led__short__dark","category-definition","facebook","portrait","1080","1350","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__product-led__short__light","category-definition","facebook","portrait","1080","1350","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__product-led__medium__dark","category-definition","facebook","portrait","1080","1350","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__product-led__medium__light","category-definition","facebook","portrait","1080","1350","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__product-led__long__dark","category-definition","facebook","portrait","1080","1350","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__product-led__long__light","category-definition","facebook","portrait","1080","1350","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__product-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__illustration-led__short__dark","category-definition","facebook","portrait","1080","1350","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__illustration-led__short__light","category-definition","facebook","portrait","1080","1350","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__illustration-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__illustration-led__medium__dark","category-definition","facebook","portrait","1080","1350","illustration-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__illustration-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__illustration-led__medium__light","category-definition","facebook","portrait","1080","1350","illustration-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__illustration-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__illustration-led__long__dark","category-definition","facebook","portrait","1080","1350","illustration-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__illustration-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__portrait__illustration-led__long__light","category-definition","facebook","portrait","1080","1350","illustration-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-portrait__illustration-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__editorial-led__short__dark","category-definition","facebook","story","1080","1920","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__editorial-led__short__light","category-definition","facebook","story","1080","1920","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__editorial-led__medium__dark","category-definition","facebook","story","1080","1920","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__editorial-led__medium__light","category-definition","facebook","story","1080","1920","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__editorial-led__long__dark","category-definition","facebook","story","1080","1920","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__editorial-led__long__light","category-definition","facebook","story","1080","1920","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__product-led__short__dark","category-definition","facebook","story","1080","1920","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__product-led__short__light","category-definition","facebook","story","1080","1920","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__product-led__medium__dark","category-definition","facebook","story","1080","1920","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__product-led__medium__light","category-definition","facebook","story","1080","1920","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__product-led__long__dark","category-definition","facebook","story","1080","1920","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__product-led__long__light","category-definition","facebook","story","1080","1920","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__product-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__illustration-led__short__dark","category-definition","facebook","story","1080","1920","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__illustration-led__short__light","category-definition","facebook","story","1080","1920","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__illustration-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__illustration-led__medium__dark","category-definition","facebook","story","1080","1920","illustration-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__illustration-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__illustration-led__medium__light","category-definition","facebook","story","1080","1920","illustration-led","medium","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__illustration-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__illustration-led__long__dark","category-definition","facebook","story","1080","1920","illustration-led","long","dark","draft","false","alfred-flagship-launch__category-definition__facebook-story__illustration-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__facebook__story__illustration-led__long__light","category-definition","facebook","story","1080","1920","illustration-led","long","light","draft","false","alfred-flagship-launch__category-definition__facebook-story__illustration-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__editorial-led__short__dark","category-definition","instagram","square","1080","1080","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__editorial-led__short__light","category-definition","instagram","square","1080","1080","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__editorial-led__medium__dark","category-definition","instagram","square","1080","1080","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__editorial-led__medium__light","category-definition","instagram","square","1080","1080","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__editorial-led__long__dark","category-definition","instagram","square","1080","1080","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__editorial-led__long__light","category-definition","instagram","square","1080","1080","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__product-led__short__dark","category-definition","instagram","square","1080","1080","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__product-led__short__light","category-definition","instagram","square","1080","1080","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__product-led__medium__dark","category-definition","instagram","square","1080","1080","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__product-led__medium__light","category-definition","instagram","square","1080","1080","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__product-led__long__dark","category-definition","instagram","square","1080","1080","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__product-led__long__light","category-definition","instagram","square","1080","1080","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__product-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__illustration-led__short__dark","category-definition","instagram","square","1080","1080","illustration-led","short","dark","draft","false","alfred-flagship-launch__category-definition__instagram-square__illustration-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__instagram__square__illustration-led__short__light","category-definition","instagram","square","1080","1080","illustration-led","short","light","draft","false","alfred-flagship-launch__category-definition__instagram-square__illustration-led__short__light__v0_1_0__1x.png"
