master,platform,width,height,aspect_ratio,dimension_status,dimension_note,slot_status,slots,safe_zone_status,claim_status,placeholder_count,light_parity
social/facebook-event-cover-light.html,Facebook,1920,1005,1920:1005,review required,No current first-party event-cover pixel recommendation was located in this audit.,declared,date|eyebrow|time|title,documented,not applicable,0,paired
social/facebook-event-cover.html,Facebook,1920,1005,1920:1005,review required,No current first-party event-cover pixel recommendation was located in this audit.,declared,date|eyebrow|time|title,documented,not applicable,0,paired
social/facebook-link-light.html,Facebook,1200,630,1200:630,current,Compatible with the current 1.91:1 horizontal link-image family.,declared,cta|eyebrow|headline|sub,documented,not applicable,0,paired
social/facebook-link.html,Facebook,1200,630,1200:630,current,Compatible with the current 1.91:1 horizontal link-image family.,declared,cta|eyebrow|headline|sub,documented,not applicable,0,paired
social/facebook-square-light.html,Facebook,1080,1080,1080:1080,current,Square placement remains supported.,declared,eyebrow|item-1|item-2|item-3|title,missing explicit metadata,Northwind demo framed,0,paired
social/facebook-square.html,Facebook,1080,1080,1080:1080,current,Square placement remains supported.,declared,eyebrow|item-1|item-2|item-3|title,missing explicit metadata,Northwind demo framed,0,paired
social/facebook-story-light.html,Facebook,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story family.,declared,cta|eyebrow|headline|sub,documented,not applicable,0,paired
social/facebook-story.html,Facebook,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story family.,declared,cta|eyebrow|headline|sub,documented,not applicable,0,paired
social/instagram-announcement-light.html,Instagram,1080,1080,1080:1080,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,cta|eyebrow|headline,missing explicit metadata,not applicable,0,paired
social/instagram-announcement.html,Instagram,1080,1080,1080:1080,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,cta|eyebrow|headline,missing explicit metadata,not applicable,0,paired
social/instagram-insight-light.html,Instagram,1080,1350,1080:1350,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,detail|explain|insight|severity|sources,missing explicit metadata,Northwind demo framed,0,paired
social/instagram-insight.html,Instagram,1080,1350,1080:1350,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,detail|explain|insight|severity|sources,missing explicit metadata,Northwind demo framed,0,paired
social/instagram-quote-light.html,Instagram,1080,1080,1080:1080,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,initials|name|quote|role,missing explicit metadata,unresolved placeholder guard,3,paired
social/instagram-quote.html,Instagram,1080,1080,1080:1080,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,initials|name|quote|role,missing explicit metadata,unresolved placeholder guard,3,paired
social/instagram-stat-light.html,Instagram,1080,1080,1080:1080,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,bridge|claim|source|stat,missing explicit metadata,visible citation,0,paired
social/instagram-stat.html,Instagram,1080,1080,1080:1080,current,Within Instagram's current supported feed width and aspect-ratio range.,declared,bridge|claim|source|stat,missing explicit metadata,visible citation,0,paired
social/instagram-story-countdown-light.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,count|date|eyebrow|title|unit,documented,not applicable,0,paired
social/instagram-story-countdown.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,count|date|eyebrow|title|unit,documented,not applicable,0,paired
social/instagram-story-light.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,cta|eyebrow|headline|sub,documented,not applicable,0,paired
social/instagram-story-poll-light.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,eyebrow|question,documented,not applicable,0,paired
social/instagram-story-poll.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,eyebrow|question,documented,not applicable,0,paired
social/instagram-story-stat-light.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,bridge|claim|source|stat,documented,visible citation,0,paired
social/instagram-story-stat.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,bridge|claim|source|stat,documented,visible citation,0,paired
social/instagram-story.html,Instagram,1080,1920,1080:1920,current,Uses the current full-screen 9:16 story and reel family.,declared,cta|eyebrow|headline|sub,documented,not applicable,0,paired
social/integration-spotlight-light.html,Cross-platform feed,1080,1080,1080:1080,current,Compatible with current square or portrait feed families.,declared,category|line|partner,missing explicit metadata,not applicable,0,paired
social/integration-spotlight.html,Cross-platform feed,1080,1080,1080:1080,current,Compatible with current square or portrait feed families.,declared,category|line|partner,missing explicit metadata,not applicable,0,paired
social/linkedin-announcement-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,cta|eyebrow|headline,missing explicit metadata,not applicable,0,paired
social/linkedin-announcement.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,cta|eyebrow|headline,missing explicit metadata,not applicable,0,paired
social/linkedin-checklist-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,bridge|eyebrow|item-1|item-2|item-3|item-4|item-5|title,missing explicit metadata,not applicable,0,paired
social/linkedin-checklist.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,bridge|eyebrow|item-1|item-2|item-3|item-4|item-5|title,missing explicit metadata,not applicable,0,paired
social/linkedin-comparison-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,new-1|new-2|new-3|old-1|old-2|old-3|title,missing explicit metadata,not applicable,0,paired
social/linkedin-comparison.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,new-1|new-2|new-3|old-1|old-2|old-3|title,missing explicit metadata,not applicable,0,paired
social/linkedin-feature-spotlight-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|feature|line|mem-1-entry|mem-1-kind|mem-2-entry|mem-2-kind|mem-3-entry|mem-3-kind,missing explicit metadata,not applicable,0,paired
social/linkedin-feature-spotlight.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|feature|line|mem-1-entry|mem-1-kind|mem-2-entry|mem-2-kind|mem-3-entry|mem-3-kind,missing explicit metadata,not applicable,0,paired
social/linkedin-hiring-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,cta|eyebrow|role-1|role-1-meta|role-2|role-2-meta|title,missing explicit metadata,not applicable,0,paired
social/linkedin-hiring.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,cta|eyebrow|role-1|role-1-meta|role-2|role-2-meta|title,missing explicit metadata,not applicable,0,paired
social/linkedin-hot-take-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,statement|support,missing explicit metadata,not applicable,0,paired
social/linkedin-hot-take.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,statement|support,missing explicit metadata,not applicable,0,paired
social/linkedin-insight-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,confidence|detail|explain|insight|severity|sources,missing explicit metadata,Northwind demo framed,0,paired
social/linkedin-insight.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,confidence|detail|explain|insight|severity|sources,missing explicit metadata,Northwind demo framed,0,paired
social/linkedin-myth-fact-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,bridge|fact|myth,missing explicit metadata,not applicable,0,paired
social/linkedin-myth-fact.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,bridge|fact|myth,missing explicit metadata,not applicable,0,paired
social/linkedin-product-update-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|feat-1-line|feat-1-name|feat-2-line|feat-2-name|feat-3-line|feat-3-name|title,missing explicit metadata,not applicable,0,paired
social/linkedin-product-update.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|feat-1-line|feat-1-name|feat-2-line|feat-2-name|feat-3-line|feat-3-name|title,missing explicit metadata,not applicable,0,paired
social/linkedin-question-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|invite|question,missing explicit metadata,not applicable,0,paired
social/linkedin-question.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|invite|question,missing explicit metadata,not applicable,0,paired
social/linkedin-quote-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,initials|name|quote|role,missing explicit metadata,unresolved placeholder guard,3,paired
social/linkedin-quote.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,initials|name|quote|role,missing explicit metadata,unresolved placeholder guard,3,paired
social/linkedin-stat-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,bridge|claim|source|stat,missing explicit metadata,visible citation,0,paired
social/linkedin-stat.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,bridge|claim|source|stat,missing explicit metadata,visible citation,0,paired
social/linkedin-tip-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,body|bridge|eyebrow|title,missing explicit metadata,not applicable,0,paired
social/linkedin-tip.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,body|bridge|eyebrow|title,missing explicit metadata,not applicable,0,paired
social/linkedin-webinar-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,cta|date|eyebrow|length|speaker-1-name|speaker-1-role|speaker-2-name|speaker-2-role|time|title,missing explicit metadata,unresolved placeholder guard,4,paired
social/linkedin-webinar.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,cta|date|eyebrow|length|speaker-1-name|speaker-1-role|speaker-2-name|speaker-2-role|time|title,missing explicit metadata,unresolved placeholder guard,4,paired
social/linkedin-weekly-recap-light.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|note-1|note-2|note-3|theme-1|theme-2|theme-3|title,missing explicit metadata,unresolved placeholder guard,1,paired
social/linkedin-weekly-recap.html,LinkedIn,1200,1350,1200:1350,"compatible, not recommended","Within LinkedIn upload bounds, but current vertical single-image guidance recommends 4:5 rather than 8:9.",declared,eyebrow|note-1|note-2|note-3|theme-1|theme-2|theme-3|title,missing explicit metadata,unresolved placeholder guard,1,paired
social/milestone-light.html,Cross-platform feed,1080,1080,1080:1080,current,Compatible with current square or portrait feed families.,declared,claim|number|thanks,missing explicit metadata,claim review required,0,paired
social/milestone.html,Cross-platform feed,1080,1080,1080:1080,current,Compatible with current square or portrait feed families.,declared,claim|number|thanks,missing explicit metadata,claim review required,0,paired
social/og-blog-light.html,Open Graph and blog,1200,630,1200:630,current,Matches the established 1.91:1 Open Graph image shape.,declared,author-initials|author-name|author-role|date|pillar|title,missing explicit metadata,unresolved placeholder guard,3,paired
social/og-blog.html,Open Graph and blog,1200,630,1200:630,current,Matches the established 1.91:1 Open Graph image shape.,declared,author-initials|author-name|author-role|date|pillar|title,missing explicit metadata,unresolved placeholder guard,3,paired
social/og-default-light.html,Open Graph and blog,1200,630,1200:630,current,Matches the established 1.91:1 Open Graph image shape.,static or campaign-specific,,missing explicit metadata,not applicable,0,paired
social/og-default.html,Open Graph and blog,1200,630,1200:630,current,Matches the established 1.91:1 Open Graph image shape.,static or campaign-specific,,missing explicit metadata,not applicable,0,paired
social/og-page-light.html,Open Graph and blog,1200,630,1200:630,current,Matches the established 1.91:1 Open Graph image shape.,declared,eyebrow|path|title,missing explicit metadata,not applicable,0,paired
social/og-page.html,Open Graph and blog,1200,630,1200:630,current,Matches the established 1.91:1 Open Graph image shape.,declared,eyebrow|path|title,missing explicit metadata,not applicable,0,paired
social/organisation-brain-01.html,LinkedIn,1080,1350,1080:1350,current,Matches LinkedIn's current recommended 4:5 vertical ratio.,missing metadata,,missing explicit metadata,not applicable,0,campaign-specific exception
social/profile-avatar.html,Cross-platform profile,400,400,400:400,current,Square source supports circular profile crops and current LinkedIn Page logo guidance.,static or campaign-specific,,documented,not applicable,0,embedded
social/profile-banner-linkedin-light.html,LinkedIn,1584,396,1584:396,revision required,Company Page cover is documented by LinkedIn at 4200x700. Existing size matches a personal profile cover.,missing metadata,,documented,not applicable,0,paired
social/profile-banner-linkedin.html,LinkedIn,1584,396,1584:396,revision required,Company Page cover is documented by LinkedIn at 4200x700. Existing size matches a personal profile cover.,missing metadata,,documented,not applicable,0,paired
social/profile-banner-x-light.html,X,1500,500,1500:500,current,Matches X recommended header dimensions.,missing metadata,,documented,not applicable,0,paired
social/profile-banner-x.html,X,1500,500,1500:500,current,Matches X recommended header dimensions.,missing metadata,,documented,not applicable,0,paired
social/x-post-light.html,X,1200,675,1200:675,review required,No current first-party X feed-image pixel recommendation was located in this audit.,declared,eyebrow|statement,documented,not applicable,0,paired
social/x-post.html,X,1200,675,1200:675,review required,No current first-party X feed-image pixel recommendation was located in this audit.,declared,eyebrow|statement,documented,not applicable,0,paired
social/youtube-banner-light.html,YouTube,2560,1440,2560:1440,current,Matches YouTube recommended channel banner dimensions.,missing metadata,,documented,not applicable,0,paired
social/youtube-banner.html,YouTube,2560,1440,2560:1440,current,Matches YouTube recommended channel banner dimensions.,missing metadata,,documented,not applicable,0,paired
social/youtube-thumb-demo-light.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,greeting|item-1|item-2|kicker|title,missing explicit metadata,Northwind demo framed,0,paired
social/youtube-thumb-demo.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,greeting|item-1|item-2|kicker|title,missing explicit metadata,Northwind demo framed,0,paired
social/youtube-thumb-episode-light.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,ep|kicker|title,missing explicit metadata,not applicable,0,paired
social/youtube-thumb-episode.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,ep|kicker|title,missing explicit metadata,not applicable,0,paired
social/youtube-thumb-stat-light.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,claim|source|stat,missing explicit metadata,visible citation,0,paired
social/youtube-thumb-stat.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,claim|source|stat,missing explicit metadata,visible citation,0,paired
social/youtube-thumb-webinar-light.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,live|speaker-1|speaker-2|title|when,missing explicit metadata,unresolved placeholder guard,1,paired
social/youtube-thumb-webinar.html,YouTube,1280,720,1280:720,"compatible, not recommended","Aspect ratio is current, but YouTube now recommends 3840x2160 custom thumbnails.",declared,live|speaker-1|speaker-2|title|when,missing explicit metadata,unresolved placeholder guard,1,paired
