asset_id,family,source_path,asset_name,disposition,rationale,tracked
component:core/Accordion,component,components/core/Accordion.jsx,core/Accordion,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Avatar,component,components/core/Avatar.jsx,core/Avatar,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Badge,component,components/core/Badge.jsx,core/Badge,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Button,component,components/core/Button.jsx,core/Button,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Card,component,components/core/Card.jsx,core/Card,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Checkbox,component,components/core/Checkbox.jsx,core/Checkbox,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Chip,component,components/core/Chip.jsx,core/Chip,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Combobox,component,components/core/Combobox.jsx,core/Combobox,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Divider,component,components/core/Divider.jsx,core/Divider,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/FileDropzone,component,components/core/FileDropzone.jsx,core/FileDropzone,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/IconButton,component,components/core/IconButton.jsx,core/IconButton,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Input,component,components/core/Input.jsx,core/Input,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Kbd,component,components/core/Kbd.jsx,core/Kbd,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/NumberInput,component,components/core/NumberInput.jsx,core/NumberInput,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/RadioGroup,component,components/core/RadioGroup.jsx,core/RadioGroup,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/SearchInput,component,components/core/SearchInput.jsx,core/SearchInput,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/SegmentedControl,component,components/core/SegmentedControl.jsx,core/SegmentedControl,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Select,component,components/core/Select.jsx,core/Select,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Slider,component,components/core/Slider.jsx,core/Slider,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Spinner,component,components/core/Spinner.jsx,core/Spinner,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Switch,component,components/core/Switch.jsx,core/Switch,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Tabs,component,components/core/Tabs.jsx,core/Tabs,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/TagInput,component,components/core/TagInput.jsx,core/TagInput,reusable,Typed design-system primitive available to launch compositions.,yes
component:core/Textarea,component,components/core/Textarea.jsx,core/Textarea,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/ActivityTimeline,component,components/data/ActivityTimeline.jsx,data/ActivityTimeline,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/Breadcrumb,component,components/data/Breadcrumb.jsx,data/Breadcrumb,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/DecisionAlert,component,components/data/DecisionAlert.jsx,data/DecisionAlert,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/EmptyState,component,components/data/EmptyState.jsx,data/EmptyState,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/KpiCard,component,components/data/KpiCard.jsx,data/KpiCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/NotificationItem,component,components/data/NotificationItem.jsx,data/NotificationItem,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/Pagination,component,components/data/Pagination.jsx,data/Pagination,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/ProgressBar,component,components/data/ProgressBar.jsx,data/ProgressBar,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/ProgressRing,component,components/data/ProgressRing.jsx,data/ProgressRing,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/Skeleton,component,components/data/Skeleton.jsx,data/Skeleton,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/StateBlock,component,components/data/StateBlock.jsx,data/StateBlock,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/Stepper,component,components/data/Stepper.jsx,data/Stepper,reusable,Typed design-system primitive available to launch compositions.,yes
component:data/Table,component,components/data/Table.jsx,data/Table,reusable,Typed design-system primitive available to launch compositions.,yes
component:decision/AnomalyFlag,component,components/decision/AnomalyFlag.jsx,decision/AnomalyFlag,reusable,Typed design-system primitive available to launch compositions.,yes
component:decision/ApprovalGate,component,components/decision/ApprovalGate.jsx,decision/ApprovalGate,reusable,Typed design-system primitive available to launch compositions.,yes
component:decision/DecisionFork,component,components/decision/DecisionFork.jsx,decision/DecisionFork,reusable,Typed design-system primitive available to launch compositions.,yes
component:decision/GoalPacing,component,components/decision/GoalPacing.jsx,decision/GoalPacing,reusable,Typed design-system primitive available to launch compositions.,yes
component:decision/ScenarioSimulator,component,components/decision/ScenarioSimulator.jsx,decision/ScenarioSimulator,reusable,Typed design-system primitive available to launch compositions.,yes
component:feedback/Banner,component,components/feedback/Banner.jsx,feedback/Banner,reusable,Typed design-system primitive available to launch compositions.,yes
component:feedback/Callout,component,components/feedback/Callout.jsx,feedback/Callout,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/AgentStatus,component,components/marketing/AgentStatus.jsx,marketing/AgentStatus,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/AnimatedCounter,component,components/marketing/AnimatedCounter.jsx,marketing/AnimatedCounter,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/AvatarStack,component,components/marketing/AvatarStack.jsx,marketing/AvatarStack,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/CapabilityTicker,component,components/marketing/CapabilityTicker.jsx,marketing/CapabilityTicker,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/CategoryCountBadge,component,components/marketing/CategoryCountBadge.jsx,marketing/CategoryCountBadge,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/Countdown,component,components/marketing/Countdown.jsx,marketing/Countdown,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/DashboardMock,component,components/marketing/DashboardMock.jsx,marketing/DashboardMock,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/DotMatrix,component,components/marketing/DotMatrix.jsx,marketing/DotMatrix,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/EyebrowBadge,component,components/marketing/EyebrowBadge.jsx,marketing/EyebrowBadge,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/FaqItem,component,components/marketing/FaqItem.jsx,marketing/FaqItem,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/IntegrationCard,component,components/marketing/IntegrationCard.jsx,marketing/IntegrationCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/JobListingRow,component,components/marketing/JobListingRow.jsx,marketing/JobListingRow,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/ModuleStatusCard,component,components/marketing/ModuleStatusCard.jsx,marketing/ModuleStatusCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/OfferSwitch,component,components/marketing/OfferSwitch.jsx,marketing/OfferSwitch,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/PriceCard,component,components/marketing/PriceCard.jsx,marketing/PriceCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/SignalCard,component,components/marketing/SignalCard.jsx,marketing/SignalCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/StatBand,component,components/marketing/StatBand.jsx,marketing/StatBand,reusable,Typed design-system primitive available to launch compositions.,yes
component:marketing/StepFlow,component,components/marketing/StepFlow.jsx,marketing/StepFlow,reusable,Typed design-system primitive available to launch compositions.,yes
component:overlay/Drawer,component,components/overlay/Drawer.jsx,overlay/Drawer,reusable,Typed design-system primitive available to launch compositions.,yes
component:overlay/Menu,component,components/overlay/Menu.jsx,overlay/Menu,reusable,Typed design-system primitive available to launch compositions.,yes
component:overlay/Modal,component,components/overlay/Modal.jsx,overlay/Modal,reusable,Typed design-system primitive available to launch compositions.,yes
component:overlay/Popover,component,components/overlay/Popover.jsx,overlay/Popover,reusable,Typed design-system primitive available to launch compositions.,yes
component:overlay/Toast,component,components/overlay/Toast.jsx,overlay/Toast,reusable,Typed design-system primitive available to launch compositions.,yes
component:overlay/Tooltip,component,components/overlay/Tooltip.jsx,overlay/Tooltip,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/CausalChain,component,components/trust/CausalChain.jsx,trust/CausalChain,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/ConfidenceMeter,component,components/trust/ConfidenceMeter.jsx,trust/ConfidenceMeter,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/DataFreshness,component,components/trust/DataFreshness.jsx,trust/DataFreshness,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/DecisionLog,component,components/trust/DecisionLog.jsx,trust/DecisionLog,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/EvidenceLedger,component,components/trust/EvidenceLedger.jsx,trust/EvidenceLedger,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/InsightFeedback,component,components/trust/InsightFeedback.jsx,trust/InsightFeedback,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/MemoryCard,component,components/trust/MemoryCard.jsx,trust/MemoryCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/ProvenancePanel,component,components/trust/ProvenancePanel.jsx,trust/ProvenancePanel,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/RecommendationCard,component,components/trust/RecommendationCard.jsx,trust/RecommendationCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:trust/SourceTrace,component,components/trust/SourceTrace.jsx,trust/SourceTrace,reusable,Typed design-system primitive available to launch compositions.,yes
deck export:Alfred AI Solutions Deck.pptx,deck export,templates/decks/Alfred AI Solutions Deck.pptx,Alfred AI Solutions Deck.pptx,campaign-specific,Tracked delivery artifact is not the reusable HTML master.,yes
deck export:Alfred Corporate Deck.pptx,deck export,templates/decks/Alfred Corporate Deck.pptx,Alfred Corporate Deck.pptx,campaign-specific,Tracked delivery artifact is not the reusable HTML master.,yes
deck master:marketing-alfred-for-marketing,deck master,templates/decks/marketing-alfred-for-marketing.html,marketing-alfred-for-marketing,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:marketing-brand-messaging-guide,deck master,templates/decks/marketing-brand-messaging-guide.html,marketing-brand-messaging-guide,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:marketing-category-decision-intelligence,deck master,templates/decks/marketing-category-decision-intelligence.html,marketing-category-decision-intelligence,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:marketing-platform-vision,deck master,templates/decks/marketing-platform-vision.html,marketing-platform-vision,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:marketing-webinar-dashboard-era,deck master,templates/decks/marketing-webinar-dashboard-era.html,marketing-webinar-dashboard-era,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:ops-customer-success-playbook,deck master,templates/decks/ops-customer-success-playbook.html,ops-customer-success-playbook,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:ops-integrations-runbook,deck master,templates/decks/ops-integrations-runbook.html,ops-integrations-runbook,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:ops-internal-all-hands,deck master,templates/decks/ops-internal-all-hands.html,ops-internal-all-hands,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:ops-onboarding-implementation,deck master,templates/decks/ops-onboarding-implementation.html,ops-onboarding-implementation,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:ops-quarterly-business-review,deck master,templates/decks/ops-quarterly-business-review.html,ops-quarterly-business-review,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:platform-alfred-overview,deck master,templates/decks/platform-alfred-overview.html,platform-alfred-overview,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:sales-business-case-roi,deck master,templates/decks/sales-business-case-roi.html,sales-business-case-roi,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:sales-competitive-why-alfred,deck master,templates/decks/sales-competitive-why-alfred.html,sales-competitive-why-alfred,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:sales-pitch,deck master,templates/decks/sales-pitch.html,sales-pitch,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:sales-pricing-packaging,deck master,templates/decks/sales-pricing-packaging.html,sales-pricing-packaging,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:sales-product-demo,deck master,templates/decks/sales-product-demo.html,sales-product-demo,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
deck master:sales-security-trust,deck master,templates/decks/sales-security-trust.html,sales-security-trust,needs revision,"Deck needs claim, citation, confidentiality, and current-positioning review.",yes
email template:anomaly-alert,email template,templates/email/anomaly-alert.email.html,anomaly-alert,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:approval-pending,email template,templates/email/approval-pending.email.html,approval-pending,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:briefing,email template,templates/email/briefing.email.html,briefing,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:invite,email template,templates/email/invite.email.html,invite,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:launch-offer,email template,templates/email/launch-offer.email.html,launch-offer,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:magic-link,email template,templates/email/magic-link.email.html,magic-link,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:newsletter,email template,templates/email/newsletter.email.html,newsletter,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:nps,email template,templates/email/nps.email.html,nps,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:nurture-1-problem,email template,templates/email/nurture-1-problem.email.html,nurture-1-problem,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:onboarding-0-welcome,email template,templates/email/onboarding-0-welcome.email.html,onboarding-0-welcome,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:onboarding-1-connect,email template,templates/email/onboarding-1-connect.email.html,onboarding-1-connect,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:onboarding-2-first-brief,email template,templates/email/onboarding-2-first-brief.email.html,onboarding-2-first-brief,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:onboarding-3-week1,email template,templates/email/onboarding-3-week1.email.html,onboarding-3-week1,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:password-reset,email template,templates/email/password-reset.email.html,password-reset,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:payment-failed,email template,templates/email/payment-failed.email.html,payment-failed,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:reconnect,email template,templates/email/reconnect.email.html,reconnect,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:verify-email,email template,templates/email/verify-email.email.html,verify-email,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:waitlist-welcome,email template,templates/email/waitlist-welcome.email.html,waitlist-welcome,needs revision,Template needs campaign-content binding and launch positioning review.,yes
email template:weekly-digest,email template,templates/email/weekly-digest.email.html,weekly-digest,needs revision,Template needs campaign-content binding and launch positioning review.,yes
icon:alert-warning,icon,assets/icons/alert-warning.svg,alert-warning,reusable,Canonical design-system icon available to launch compositions.,yes
icon:audit-log,icon,assets/icons/audit-log.svg,audit-log,reusable,Canonical design-system icon available to launch compositions.,yes
icon:bookmark,icon,assets/icons/bookmark.svg,bookmark,reusable,Canonical design-system icon available to launch compositions.,yes
icon:budget,icon,assets/icons/budget.svg,budget,reusable,Canonical design-system icon available to launch compositions.,yes
icon:channel-mix,icon,assets/icons/channel-mix.svg,channel-mix,reusable,Canonical design-system icon available to launch compositions.,yes
icon:close,icon,assets/icons/close.svg,close,reusable,Canonical design-system icon available to launch compositions.,yes
icon:cta-arrow,icon,assets/icons/cta-arrow.svg,cta-arrow,reusable,Canonical design-system icon available to launch compositions.,yes
icon:delete,icon,assets/icons/delete.svg,delete,reusable,Canonical design-system icon available to launch compositions.,yes
icon:demo-play,icon,assets/icons/demo-play.svg,demo-play,reusable,Canonical design-system icon available to launch compositions.,yes
icon:export,icon,assets/icons/export.svg,export,reusable,Canonical design-system icon available to launch compositions.,yes
icon:fullscreen,icon,assets/icons/fullscreen.svg,fullscreen,reusable,Canonical design-system icon available to launch compositions.,yes
icon:gdpr,icon,assets/icons/gdpr.svg,gdpr,reusable,Canonical design-system icon available to launch compositions.,yes
icon:integration-success,icon,assets/icons/integration-success.svg,integration-success,reusable,Canonical design-system icon available to launch compositions.,yes
icon:locked-feature,icon,assets/icons/locked-feature.svg,locked-feature,reusable,Canonical design-system icon available to launch compositions.,yes
icon:mql,icon,assets/icons/mql.svg,mql,reusable,Canonical design-system icon available to launch compositions.,yes
icon:pin,icon,assets/icons/pin.svg,pin,reusable,Canonical design-system icon available to launch compositions.,yes
icon:pricing-cross,icon,assets/icons/pricing-cross.svg,pricing-cross,reusable,Canonical design-system icon available to launch compositions.,yes
icon:read-only,icon,assets/icons/read-only.svg,read-only,reusable,Canonical design-system icon available to launch compositions.,yes
icon:refresh,icon,assets/icons/refresh.svg,refresh,reusable,Canonical design-system icon available to launch compositions.,yes
icon:security-lock,icon,assets/icons/security-lock.svg,security-lock,reusable,Canonical design-system icon available to launch compositions.,yes
icon:sort,icon,assets/icons/sort.svg,sort,reusable,Canonical design-system icon available to launch compositions.,yes
icon:step-locked,icon,assets/icons/step-locked.svg,step-locked,reusable,Canonical design-system icon available to launch compositions.,yes
icon:trend-down,icon,assets/icons/trend-down.svg,trend-down,reusable,Canonical design-system icon available to launch compositions.,yes
icon:trend-flat,icon,assets/icons/trend-flat.svg,trend-flat,reusable,Canonical design-system icon available to launch compositions.,yes
icon:trend-up,icon,assets/icons/trend-up.svg,trend-up,reusable,Canonical design-system icon available to launch compositions.,yes
icon:web-clarity,icon,assets/icons/web-clarity.svg,web-clarity,reusable,Canonical design-system icon available to launch compositions.,yes
icon:web-stack-connected,icon,assets/icons/web-stack-connected.svg,web-stack-connected,reusable,Canonical design-system icon available to launch compositions.,yes
illustration:characters/alfred-butler-ink.svg,illustration,assets/illustrations/characters/alfred-butler-ink.svg,characters/alfred-butler-ink.svg,needs revision,Existing character art needs expansion-family consistency and crop review.,yes
illustration:characters/alfred-butler.svg,illustration,assets/illustrations/characters/alfred-butler.svg,characters/alfred-butler.svg,needs revision,Existing character art needs expansion-family consistency and crop review.,yes
illustration:characters/the-leader-male.svg,illustration,assets/illustrations/characters/the-leader-male.svg,characters/the-leader-male.svg,needs revision,Existing character art needs expansion-family consistency and crop review.,yes
illustration:characters/the-leader.svg,illustration,assets/illustrations/characters/the-leader.svg,characters/the-leader.svg,needs revision,Existing character art needs expansion-family consistency and crop review.,yes
legacy social template:og-card,legacy social template,templates/social/og-card.html,og-card,redundant,Superseded by the root social master and Open Graph system.,yes
logo:alfred-favicon-black.svg,logo,assets/logos/alfred-favicon-black.svg,alfred-favicon-black.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-favicon-white.svg,logo,assets/logos/alfred-favicon-white.svg,alfred-favicon-white.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-icon-white.svg,logo,assets/logos/alfred-icon-white.svg,alfred-icon-white.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-icon.svg,logo,assets/logos/alfred-icon.svg,alfred-icon.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-logo-color-white.svg,logo,assets/logos/alfred-logo-color-white.svg,alfred-logo-color-white.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-logo-email.png,logo,assets/logos/alfred-logo-email.png,alfred-logo-email.png,reusable,Canonical Alfred brand asset.,yes
logo:alfred-logo-primary.svg,logo,assets/logos/alfred-logo-primary.svg,alfred-logo-primary.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-logo-white-variation.svg,logo,assets/logos/alfred-logo-white-variation.svg,alfred-logo-white-variation.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-logo-white.svg,logo,assets/logos/alfred-logo-white.svg,alfred-logo-white.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-wordmark-white.svg,logo,assets/logos/alfred-wordmark-white.svg,alfred-wordmark-white.svg,reusable,Canonical Alfred brand asset.,yes
logo:alfred-wordmark.svg,logo,assets/logos/alfred-wordmark.svg,alfred-wordmark.svg,reusable,Canonical Alfred brand asset.,yes
page template:404,page template,templates/pages/404.html,404,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
page template:about,page template,templates/pages/about.html,about,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
page template:alfred-core,page template,templates/pages/alfred-core.html,alfred-core,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
page template:blog,page template,templates/pages/blog.html,blog,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
page template:blog-article,page template,templates/pages/blog-article.html,blog-article,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
page template:contact,page template,templates/pages/contact.html,contact,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
page template:docs,page template,templates/pages/docs.html,docs,needs revision,"Page needs launch narrative, content-source, and responsive-state review.",yes
